,object,saccade_id,sim,pos.x,pos.y,goal.y,goal.x,ts,rot,trial,saccade_num
1520,square,0000-0156,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,156,34.37746770784939,square-0-6,116
1521,triangle,0000-0004,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,4,11.459155902616464,triangle-0-2,78
1522,triangle,0000-0008,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,8,11.459155902616464,triangle-0-2,79
1523,triangle,0000-0012,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,12,11.459155902616464,triangle-0-2,80
1524,triangle,0000-0016,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,16,11.459155902616464,triangle-0-2,81
1525,triangle,0000-0020,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,20,11.459155902616464,triangle-0-2,82
1526,triangle,0000-0024,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,24,11.459155902616464,triangle-0-2,83
1527,triangle,0000-0028,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,28,11.459155902616464,triangle-0-2,84
1528,triangle,0000-0032,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,32,11.459155902616464,triangle-0-2,85
1529,triangle,0000-0036,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,36,11.459155902616464,triangle-0-2,86
1530,triangle,0000-0040,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,40,11.459155902616464,triangle-0-2,87
1531,triangle,0000-0044,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,44,11.459155902616464,triangle-0-2,88
1532,triangle,0000-0048,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,48,11.459155902616464,triangle-0-2,89
1533,triangle,0000-0052,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,52,11.459155902616464,triangle-0-2,90
1534,triangle,0000-0056,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,56,11.459155902616464,triangle-0-2,91
1535,triangle,0000-0060,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,60,11.459155902616464,triangle-0-2,92
1536,triangle,0000-0064,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,64,11.459155902616464,triangle-0-2,93
1537,triangle,0000-0068,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,68,11.459155902616464,triangle-0-2,94
1538,triangle,0000-0072,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,72,11.459155902616464,triangle-0-2,95
1539,triangle,0000-0076,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,76,11.459155902616464,triangle-0-2,96
1540,triangle,0000-0080,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,80,11.459155902616464,triangle-0-2,97
1541,triangle,0000-0084,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,84,11.459155902616464,triangle-0-2,98
1542,triangle,0000-0088,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,88,11.459155902616464,triangle-0-2,99
1543,triangle,0000-0092,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,92,11.459155902616464,triangle-0-2,100
1544,triangle,0000-0096,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,96,11.459155902616464,triangle-0-2,101
1545,triangle,0000-0100,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,100,11.459155902616464,triangle-0-2,102
1546,triangle,0000-0104,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,104,11.459155902616464,triangle-0-2,103
1547,triangle,0000-0108,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,108,11.459155902616464,triangle-0-2,104
1548,triangle,0000-0112,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,112,11.459155902616464,triangle-0-2,105
1549,triangle,0000-0116,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,116,11.459155902616464,triangle-0-2,106
1550,triangle,0000-0120,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,120,11.459155902616464,triangle-0-2,107
1551,triangle,0000-0124,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,124,11.459155902616464,triangle-0-2,108
1552,triangle,0000-0128,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,128,11.459155902616464,triangle-0-2,109
1553,triangle,0000-0132,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,132,11.459155902616464,triangle-0-2,110
1554,triangle,0000-0136,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,136,11.459155902616464,triangle-0-2,111
1555,triangle,0000-0140,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,4.0,9.0,140,11.459155902616464,triangle-0-2,112
1556,triangle,0000-0144,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,7.0,0.0,144,11.459155902616464,triangle-0-2,113
