,world,position,angle,saccade_id,goal,sim,pos.x,pos.y,goal.x,goal.y,saccade,rot
102,triangle,[20. 20.],0.8,0000-0008,[[2. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,5.0,8,45.83662361046586
103,triangle,[20. 20.],0.8,0000-0012,[[9. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,6.0,12,45.83662361046586
104,triangle,[20. 20.],0.8,0000-0016,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,16,45.83662361046586
105,triangle,[20. 20.],0.8,0000-0020,[[2. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,5.0,20,45.83662361046586
106,triangle,[20. 20.],0.8,0000-0024,[[9. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,6.0,24,45.83662361046586
107,triangle,[20. 20.],0.8,0000-0028,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,28,45.83662361046586
108,triangle,[20. 20.],0.8,0000-0032,[[2. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,5.0,32,45.83662361046586
109,triangle,[20. 20.],0.8,0000-0036,[[9. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,6.0,36,45.83662361046586
110,triangle,[20. 20.],0.8,0000-0040,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,40,45.83662361046586
111,triangle,[20. 20.],0.8,0000-0044,[[2. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,5.0,44,45.83662361046586
112,triangle,[20. 20.],0.8,0000-0048,[[9. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,6.0,48,45.83662361046586
113,triangle,[20. 20.],0.8,0000-0052,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,52,45.83662361046586
114,triangle,[20. 20.],0.8,0000-0056,[[2. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,5.0,56,45.83662361046586
115,triangle,[20. 20.],0.8,0000-0060,[[9. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,6.0,60,45.83662361046586
116,triangle,[20. 20.],0.8,0000-0064,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,64,45.83662361046586
117,triangle,[20. 20.],0.8,0000-0068,[[2. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,5.0,68,45.83662361046586
118,triangle,[20. 20.],0.8,0000-0072,[[9. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,6.0,72,45.83662361046586
119,triangle,[20. 20.],0.8,0000-0076,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,76,45.83662361046586
120,triangle,[20. 20.],0.0,0000-0000,[[9. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,5.0,0,0.0
121,triangle,[20. 20.],0.0,0000-0004,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,4,0.0
122,triangle,[20. 20.],0.0,0000-0008,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,8,0.0
123,triangle,[20. 20.],0.0,0000-0012,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,12,0.0
124,triangle,[20. 20.],0.0,0000-0016,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,16,0.0
125,triangle,[20. 20.],0.0,0000-0020,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,20,0.0
126,triangle,[20. 20.],0.0,0000-0024,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,24,0.0
127,triangle,[20. 20.],0.0,0000-0028,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,28,0.0
128,triangle,[20. 20.],0.0,0000-0032,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,32,0.0
129,triangle,[20. 20.],0.0,0000-0036,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,36,0.0
130,triangle,[20. 20.],0.0,0000-0040,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,40,0.0
131,triangle,[20. 20.],0.0,0000-0044,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,44,0.0
132,triangle,[20. 20.],0.0,0000-0048,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,48,0.0
133,triangle,[20. 20.],0.0,0000-0052,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,52,0.0
134,triangle,[20. 20.],0.0,0000-0056,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,56,0.0
135,triangle,[20. 20.],0.0,0000-0060,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,60,0.0
136,triangle,[20. 20.],0.0,0000-0064,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,64,0.0
137,triangle,[20. 20.],0.0,0000-0068,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,68,0.0
138,triangle,[20. 20.],0.0,0000-0072,[[7. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,9.0,72,0.0
139,triangle,[20. 20.],0.0,0000-0076,[[3. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,2.0,76,0.0
140,square,[20. 20.],0.4,0000-0000,[[0. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,0.0,0.0,0,22.91831180523293
141,square,[20. 20.],0.4,0000-0004,[[8. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,0.0,4,22.91831180523293
142,square,[20. 20.],0.4,0000-0008,[[3. 8.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,8.0,8,22.91831180523293
143,square,[20. 20.],0.4,0000-0012,[[6. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,3.0,12,22.91831180523293
144,square,[20. 20.],0.4,0000-0016,[[6. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,5.0,16,22.91831180523293
145,square,[20. 20.],0.4,0000-0020,[[6. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,2.0,20,22.91831180523293
146,square,[20. 20.],0.4,0000-0024,[[3. 8.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,8.0,24,22.91831180523293
147,square,[20. 20.],0.4,0000-0028,[[6. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,3.0,28,22.91831180523293
148,square,[20. 20.],0.4,0000-0032,[[6. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,5.0,32,22.91831180523293
149,square,[20. 20.],0.4,0000-0036,[[6. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,2.0,36,22.91831180523293
150,square,[20. 20.],0.4,0000-0040,[[3. 8.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,8.0,40,22.91831180523293
151,square,[20. 20.],0.4,0000-0044,[[6. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,3.0,44,22.91831180523293
152,square,[20. 20.],0.4,0000-0048,[[6. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,5.0,48,22.91831180523293
153,square,[20. 20.],0.4,0000-0052,[[6. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,2.0,52,22.91831180523293
154,square,[20. 20.],0.4,0000-0056,[[3. 8.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,8.0,56,22.91831180523293
155,square,[20. 20.],0.4,0000-0060,[[6. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,3.0,60,22.91831180523293
156,square,[20. 20.],0.4,0000-0064,[[6. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,5.0,64,22.91831180523293
157,square,[20. 20.],0.4,0000-0068,[[6. 2.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,2.0,68,22.91831180523293
158,square,[20. 20.],0.4,0000-0072,[[3. 8.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,3.0,8.0,72,22.91831180523293
159,square,[20. 20.],0.4,0000-0076,[[6. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,3.0,76,22.91831180523293
160,square,[20. 20.],1.0,0000-0000,[[0. 1.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,0.0,1.0,0,57.29577951308232
161,square,[20. 20.],1.0,0000-0004,[[9. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,9.0,0.0,4,57.29577951308232
162,square,[20. 20.],1.0,0000-0008,[[5. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,6.0,8,57.29577951308232
163,square,[20. 20.],1.0,0000-0012,[[6. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,0.0,12,57.29577951308232
164,square,[20. 20.],1.0,0000-0016,[[5. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,6.0,16,57.29577951308232
165,square,[20. 20.],1.0,0000-0020,[[6. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,0.0,20,57.29577951308232
166,square,[20. 20.],1.0,0000-0024,[[5. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,6.0,24,57.29577951308232
167,square,[20. 20.],1.0,0000-0028,[[6. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,0.0,28,57.29577951308232
168,square,[20. 20.],1.0,0000-0032,[[5. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,6.0,32,57.29577951308232
169,square,[20. 20.],1.0,0000-0036,[[6. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,0.0,36,57.29577951308232
170,square,[20. 20.],1.0,0000-0040,[[5. 6.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,6.0,40,57.29577951308232
171,square,[20. 20.],1.0,0000-0044,[[6. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,6.0,0.0,44,57.29577951308232
